Key,RA,DEC,K,Kerr,J-K,J-Kerr,#obs,class,pmRA,pmDEC,parallax,errpmRA,errpmDec,errparallax
0,19:44:45,-15:22:04.0,15.247,0.011,0.832,0.016,2,-2,0.328,-0.372,0.444,0.337,0.241,0.1937
0,19:44:30,-14:52:36.9,14.635,0.007,1.013,0.011,2,-2,-0.598,-0.365,0.111,0.315,0.248,0.1877
0,19:44:30,-14:48:35.9,13.549,0.004,0.99,0.006,2,-2,0.17,-0.003,-0.002,0.208,0.178,0.1267
0,19:44:32,-14:49:26.7,13.178,0.003,1.059,0.005,2,-2,-0.227,-0.069,-0.037,0.16,0.134,0.0964
0,19:44:34,-14:45:43.3,15.456,0.012,0.86,0.018,2,-2,-0.226,-0.206,-0.05,0.423,0.324,0.2528
0,19:44:35,-14:47:35.6,15.213,0.01,0.906,0.015,2,-2,0.701,0.052,-0.235,0.482,0.381,0.2827
0,19:44:40,-14:47:25.5,15.596,0.013,0.98,0.02,2,-2,-1.118,-0.933,0.535,0.58,0.472,0.3632
0,19:44:41,-14:42:57.8,15.165,0.007,1.045,0.011,4,-2,-0.846,-0.982,0.318,0.472,0.391,0.2886
0,19:44:42,-14:50:27.9,15.41,0.011,0.886,0.017,2,-2,-0.84,-0.642,0.35,0.461,0.408,0.2884
0,19:44:43,-14:51:51.5,14.786,0.007,0.953,0.011,2,-2,0.192,0.208,0.119,0.332,0.296,0.1898
0,19:44:44,-14:46:11.0,13.08,0.003,1.106,0.005,2,-2,-0.233,-0.129,0.243,0.197,0.167,0.1194
0,19:44:44,-14:51:31.3,14.232,0.005,1.098,0.009,2,-2,-0.634,-0.225,0.377,0.28,0.25,0.1592
0,19:44:45,-14:51:18.6,13.53,0.003,1.052,0.006,2,-2,0.192,0.048,-0.119,0.192,0.169,0.1116
0,19:44:45,-14:42:49.6,15.311,0.007,0.995,0.011,4,-2,0.418,-0.475,-0.086,0.438,0.378,0.2434
0,19:44:45,-14:51:25.1,15.052,0.009,0.984,0.014,2,-2,-0.225,-0.603,-0.243,0.461,0.41,0.2653
0,19:44:46,-14:50:51.0,14.974,0.008,1.04,0.014,2,-2,0.701,0.447,0.104,0.412,0.368,0.2295
0,19:44:46,-14:51:08.1,14.829,0.008,0.978,0.012,2,-2,-0.071,0.159,0.061,0.353,0.317,0.1974
0,19:44:46,-14:51:02.8,14.505,0.006,1.052,0.01,2,-2,0.085,-0.352,-0.149,0.305,0.273,0.1741
0,19:44:46,-14:49:45.3,15.62,0.013,0.982,0.021,2,-2,0.875,1.257,-0.281,0.601,0.546,0.3342
0,19:44:46,-14:52:21.7,12.812,0.002,1.08,0.004,2,-2,-0.196,-0.06,-0.042,0.162,0.146,0.0858
